Name,Survived,Gender,Age,Traveling_Alone,Ticket_Fare(lbs)
"Allen, Miss. Elisabeth Walton",Yes,Female,29,Alone,211.3375
"Allison, Master. Hudson Trevor",Yes,Male,0,Not_Alone,151.55
"Allison, Miss. Helen Loraine",No,Female,2,Not_Alone,151.55
"Allison, Mr. Hudson Joshua Creighton",No,Male,30,Not_Alone,151.55
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",No,Female,25,Not_Alone,151.55
"Anderson, Mr. Harry",Yes,Male,48,Alone,26.55
"Andrews, Miss. Kornelia Theodosia",Yes,Female,63,Not_Alone,77.9583
"Andrews, Mr. Thomas Jr",No,Male,39,Alone,0
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Yes,Female,53,Not_Alone,51.4792
"Artagaveytia, Mr. Ramon",No,Male,71,Alone,49.5042
"Astor, Col. John Jacob",No,Male,47,Not_Alone,227.525
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Yes,Female,18,Not_Alone,227.525
"Aubart, Mme. Leontine Pauline",Yes,Female,24,Alone,69.3
"Barber, Miss. Ellen ""Nellie""",Yes,Female,26,Alone,78.85
"Barkworth, Mr. Algernon Henry Wilson",Yes,Male,80,Alone,30
"Baumann, Mr. John D",No,Male,,Alone,25.925
"Baxter, Mr. Quigg Edmond",No,Male,24,Not_Alone,247.5208
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Yes,Female,50,Not_Alone,247.5208
"Bazzani, Miss. Albina",Yes,Female,32,Alone,76.2917
"Beattie, Mr. Thomson",No,Male,36,Alone,75.2417
"Beckwith, Mr. Richard Leonard",Yes,Male,37,Not_Alone,52.5542
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Yes,Female,47,Not_Alone,52.5542
"Behr, Mr. Karl Howell",Yes,Male,26,Alone,30
"Bidois, Miss. Rosalie",Yes,Female,42,Alone,227.525
"Bird, Miss. Ellen",Yes,Female,29,Alone,221.7792
"Birnbaum, Mr. Jakob",No,Male,25,Alone,26
"Bishop, Mr. Dickinson H",Yes,Male,25,Not_Alone,91.0792
"Bishop, Mrs. Dickinson H (Helen Walton)",Yes,Female,19,Not_Alone,91.0792
"Bissette, Miss. Amelia",Yes,Female,35,Alone,135.6333
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Yes,Male,28,Alone,26.55
"Blackwell, Mr. Stephen Weart",No,Male,45,Alone,35.5
"Blank, Mr. Henry",Yes,Male,40,Alone,31
"Bonnell, Miss. Caroline",Yes,Female,30,Alone,164.8667
"Bonnell, Miss. Elizabeth",Yes,Female,58,Alone,26.55
"Borebank, Mr. John James",No,Male,42,Alone,26.55
"Bowen, Miss. Grace Scott",Yes,Female,45,Alone,262.375
"Bowerman, Miss. Elsie Edith",Yes,Female,22,Not_Alone,55
"Bradley, Mr. George (""George Arthur Brayton"")",Yes,Male,,Alone,26.55
"Brady, Mr. John Bertram",No,Male,41,Alone,30.5
"Brandeis, Mr. Emil",No,Male,48,Alone,50.4958
"Brewe, Dr. Arthur Jackson",No,Male,,Alone,39.6
"Brown, Mrs. James Joseph (Margaret Tobin)",Yes,Female,44,Alone,27.7208
"Brown, Mrs. John Murray (Caroline Lane Lamson)",Yes,Female,59,Not_Alone,51.4792
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",Yes,Female,60,Alone,76.2917
"Burns, Miss. Elizabeth Margaret",Yes,Female,41,Alone,134.5
"Butt, Major. Archibald Willingham",No,Male,45,Alone,26.55
"Cairns, Mr. Alexander",No,Male,,Alone,31
"Calderhead, Mr. Edward Pennington",Yes,Male,42,Alone,26.2875
"Candee, Mrs. Edward (Helen Churchill Hungerford)",Yes,Female,53,Alone,27.4458
"Cardeza, Mr. Thomas Drake Martinez",Yes,Male,36,Not_Alone,
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",Yes,Female,58,Not_Alone,
"Carlsson, Mr. Frans Olof",No,Male,33,Alone,5
"Carrau, Mr. Francisco M",No,Male,28,Alone,47.1
"Carrau, Mr. Jose Pedro",No,Male,17,Alone,47.1
"Carter, Master. William Thornton II",Yes,Male,11,Not_Alone,120
"Carter, Miss. Lucile Polk",Yes,Female,14,Not_Alone,120
"Carter, Mr. William Ernest",Yes,Male,36,Not_Alone,120
"Carter, Mrs. William Ernest (Lucile Polk)",Yes,Female,36,Not_Alone,120
"Case, Mr. Howard Brown",No,Male,49,Alone,26
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",Yes,Female,,Alone,27.7208
"Cavendish, Mr. Tyrell William",No,Male,36,Not_Alone,78.85
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",Yes,Female,76,Not_Alone,78.85
"Chaffee, Mr. Herbert Fuller",No,Male,46,Not_Alone,61.175
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",Yes,Female,47,Not_Alone,61.175
"Chambers, Mr. Norman Campbell",Yes,Male,27,Not_Alone,53.1
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Yes,Female,33,Not_Alone,53.1
"Chaudanson, Miss. Victorine",Yes,Female,36,Alone,262.375
"Cherry, Miss. Gladys",Yes,Female,30,Alone,86.5
"Chevre, Mr. Paul Romaine",Yes,Male,45,Alone,29.7
"Chibnall, Mrs. (Edith Martha Bowerman)",Yes,Female,,Not_Alone,55
"Chisholm, Mr. Roderick Robert Crispin",No,Male,,Alone,0
"Clark, Mr. Walter Miller",No,Male,27,Not_Alone,136.7792
"Clark, Mrs. Walter Miller (Virginia McDowell)",Yes,Female,26,Not_Alone,136.7792
"Cleaver, Miss. Alice",Yes,Female,22,Alone,151.55
"Clifford, Mr. George Quincy",No,Male,,Alone,52
"Colley, Mr. Edward Pomeroy",No,Male,47,Alone,25.5875
"Compton, Miss. Sara Rebecca",Yes,Female,39,Not_Alone,83.1583
"Compton, Mr. Alexander Taylor Jr",No,Male,37,Not_Alone,83.1583
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",Yes,Female,64,Not_Alone,83.1583
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",Yes,Female,55,Not_Alone,25.7
"Crafton, Mr. John Bertram",No,Male,,Alone,26.55
"Crosby, Capt. Edward Gifford",No,Male,70,Not_Alone,71
"Crosby, Miss. Harriet R",Yes,Female,36,Not_Alone,71
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",Yes,Female,64,Not_Alone,26.55
"Cumings, Mr. John Bradley",No,Male,39,Not_Alone,71.2833
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Yes,Female,38,Not_Alone,71.2833
"Daly, Mr. Peter Denis",Yes,Male,51,Alone,26.55
"Daniel, Mr. Robert Williams",Yes,Male,27,Alone,30.5
"Daniels, Miss. Sarah",Yes,Female,33,Alone,151.55
"Davidson, Mr. Thornton",No,Male,31,Not_Alone,52
"Davidson, Mrs. Thornton (Orian Hays)",Yes,Female,27,Not_Alone,52
"Dick, Mr. Albert Adrian",Yes,Male,31,Not_Alone,57
"Dick, Mrs. Albert Adrian (Vera Gillespie)",Yes,Female,17,Not_Alone,57
"Dodge, Dr. Washington",Yes,Male,53,Not_Alone,81.8583
"Dodge, Master. Washington",Yes,Male,4,Not_Alone,81.8583
"Dodge, Mrs. Washington (Ruth Vidaver)",Yes,Female,54,Not_Alone,81.8583
"Douglas, Mr. Walter Donald",No,Male,50,Not_Alone,106.425
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",Yes,Female,27,Not_Alone,247.5208
"Douglas, Mrs. Walter Donald (Mahala Dutton)",Yes,Female,48,Not_Alone,106.425
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Yes,Female,48,Not_Alone,39.6
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Yes,Male,49,Not_Alone,56.9292
"Dulles, Mr. William Crothers",No,Male,39,Alone,29.7
"Earnshaw, Mrs. Boulton (Olive Potter)",Yes,Female,23,Not_Alone,83.1583
"Endres, Miss. Caroline Louise",Yes,Female,38,Alone,227.525
"Eustis, Miss. Elizabeth Mussey",Yes,Female,54,Not_Alone,78.2667
"Evans, Miss. Edith Corse",No,Female,36,Alone,31.6792
"Farthing, Mr. John",No,Male,,Alone,221.7792
"Flegenheim, Mrs. Alfred (Antoinette)",Yes,Female,,Alone,31.6833
"Fleming, Miss. Margaret",Yes,Female,,Alone,110.8833
"Flynn, Mr. John Irwin (""Irving"")",Yes,Male,36,Alone,26.3875
"Foreman, Mr. Benjamin Laventall",No,Male,30,Alone,27.75
"Fortune, Miss. Alice Elizabeth",Yes,Female,24,Not_Alone,263
"Fortune, Miss. Ethel Flora",Yes,Female,28,Not_Alone,263
"Fortune, Miss. Mabel Helen",Yes,Female,23,Not_Alone,263
"Fortune, Mr. Charles Alexander",No,Male,19,Not_Alone,263
"Fortune, Mr. Mark",No,Male,64,Not_Alone,263
"Fortune, Mrs. Mark (Mary McDougald)",Yes,Female,60,Not_Alone,263
"Francatelli, Miss. Laura Mabel",Yes,Female,30,Alone,56.9292
